data_collected,period,id,session,consent,complete,age,gender,contrada,att_aqu,att_bru,att_chi,att_civ,att_dra,att_gir,att_ist,att_leo,att_lup,att_nic,att_oca,att_ond,att_pan,att_sel,att_tar,att_tor,att_val
2017,one,A01,1,1,y,24,male,tor,3,4,4,5,4,4,4,5,4,6,1,1,4,4,4,7,4
2017,one,A02,1,1,y,22,male,tor,2,7,4,5,5,5,4,4,5,3,1,1,6,3,3,7,2
2017,one,A03,1,1,y,52,female,tor,3,4,2,3,4,2,3,6,3,3,1,1,3,4,4,7,3
2017,one,A04,1,1,y,68,male,tor,3,7,3,3,3,3,1,3,6,4,3,1,3,5,3,7,4
2017,one,A05,1,1,y,66,male,tor,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,7,4
2017,one,A06,1,1,y,47,male,tor,5,5,4,6,4,5,4,5,4,4,4,1,5,5,5,4,4
2017,one,A07,1,1,y,20,male,tor,3,6,3,3,5,3,4,3,3,5,3,3,4,3,3,7,4
2017,one,A08,1,1,y,20,male,tor,2,6,4,3,3,3,5,4,3,2,1,1,4,3,5,7,6
2017,one,A09,1,1,y,24,male,tor,2,5,4,5,4,3,4,4,4,1,3,2,6,3,2,7,5
2017,one,A10,1,1,y,24,male,tor,7,7,7,7,7,7,7,7,7,7,3,1,7,7,7,7,7
2017,one,A11,1,1,y,18,male,tor,2,4,3,6,6,4,4,3,5,2,2,1,6,4,3,7,6
2017,one,A12,1,1,y,18,male,tor,4,1,3,4,4,2,2,1,3,1,1,1,3,3,3,7,3
2017,one,A13,1,1,y,26,male,tor,3,5,4,6,4,2,2,3,4,2,1,1,6,4,3,7,5
2017,one,A14,1,1,y,26,male,tor,1,3,4,4,5,2,5,5,6,2,1,2,3,5,5,7,4
2017,one,A15,1,1,y,45,male,tor,2,5,7,7,7,4,2,1,7,1,1,1,1,3,1,7,6
2017,one,A16,1,1,y,22,male,tor,5,6,7,6,6,5,5,5,6,5,2,1,5,5,5,7,5
2017,one,A17,2,1,y,46,male,tor,5,6,4,4,4,3,3,4,5,2,1,1,3,4,5,7,5
2017,one,A18,2,1,y,46,male,tor,2,6,6,4,5,2,3,4,5,3,1,1,6,4,3,7,5
2017,one,A19,2,1,y,44,male,tor,2,4,6,4,6,3,5,4,3,4,1,1,5,5,4,7,3
2018,two,B01,1,1,y,82,male,leo,3,4,4,1,3,2,3,7,3,5,3,3,5,4,6,3,3
2018,two,B02,1,1,y,42,male,civ,5,4,4,7,4,4,2,1,5,3,4,4,5,4,4,5,5
2018,two,B03,1,1,n,65,male,civ,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,two,B04,1,1,y,38,female,civ,5,4,4,7,5,5,4,2,5,4,4,4,5,5,5,4,5
2018,three,C01,1,1,y,33,male,civ,4,2,4,7,2,5,1,1,3,2,2,3,3,1,2,2,5
2018,three,C02,1,1,y,29,male,civ,6,4,4,7,4,5,5,1,4,4,4,4,5,4,4,4,4
2018,three,C03,1,1,y,37,male,civ,6,3,4,7,6,5,2,1,5,4,2,3,5,2,2,6,3
2018,three,C04,1,1,y,23,male,civ,7,5,5,7,4,5,5,2,5,4,4,4,4,4,5,5,6
2018,three,C05,1,1,y,21,male,civ,4,4,4,7,4,4,4,1,4,4,4,4,4,4,4,4,4
2018,three,C06,1,1,y,29,male,civ,6,4,4,7,6,5,3,1,4,5,5,5,4,4,5,5,4
2018,three,C07,1,1,y,28,male,civ,4,4,3,5,3,4,2,1,2,4,3,2,5,3,2,4,3
2018,three,C08,1,1,y,22,male,civ,5,5,6,7,5,5,6,1,5,5,5,4,4,2,4,6,5
2018,three,C09,1,1,y,25,male,civ,7,5,5,7,4,4,4,1,4,1,3,1,1,1,1,4,3
2018,three,C10,1,1,y,28,male,civ,3,5,5,7,6,6,4,1,6,4,4,5,5,4,1,7,5
2018,three,C11,1,1,y,35,male,civ,6,2,2,7,4,4,1,1,2,1,4,3,4,2,1,1,1
2018,three,C12,1,1,y,46,male,civ,5,4,4,7,4,5,5,2,4,4,4,4,5,4,4,4,4
2018,three,C13,1,1,y,27,male,leo,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2018,three,C14,1,1,y,40,male,leo,7,4,4,4,4,4,4,7,4,4,4,4,4,5,4,4,4
2018,three,C15,1,1,y,44,male,leo,4,4,4,2,4,4,4,7,4,4,3,4,6,4,6,4,4
2018,three,C16,1,1,y,26,male,leo,4,5,5,1,4,2,5,7,4,4,5,4,3,6,6,6,5
2018,three,C17,1,1,y,35,male,leo,5,4,3,2,6,3,4,7,6,4,5,4,5,4,5,3,5
2018,three,C18,1,1,y,30,male,leo,5,4,6,1,4,3,5,7,5,5,5,4,6,5,7,3,5
2018,three,C19,1,1,y,32,male,leo,4,2,2,2,4,3,2,7,5,1,3,3,3,5,5,2,4
