contrada,Aquila,Bruco,Chiocciola,Civetta,Drago,Giraffa,Istrice,Leocorno,Lupa,Nicchio,Oca,Onda,Pantera,Selva,Tartuca,Torre,Valdimontone
Aquila,self,,,,,,,,,,,,,,,,
Bruco,neutral,self,,,,,,,,,,,,,,,
Chiocciola,neutral,neutral,self,,,,,,,,,,,,,,
Civetta,ally,neutral,neutral,self,,,,,,,,,,,,,
Drago,ally,neutral,neutral,neutral,self,,,,,,,,,,,,
Giraffa,neutral,neutral,neutral,ally,neutral,self,,,,,,,,,,,
Istrice,neutral,ally,ally,ally,neutral,ally,self,,,,,,,,,,
Leocorno,neutral,neutral,neutral,rival,neutral,neutral,neutral,self,,,,,,,,,
Lupa,neutral,neutral,neutral,neutral,neutral,neutral,rival,neutral,self,,,,,,,,
Nicchio,neutral,ally,neutral,neutral,neutral,neutral,neutral,neutral,neutral,self,,,,,,,
Oca,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,self,,,,,,
Onda,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,ally,neutral,self,,,,,
Pantera,rival,neutral,ally,ally,neutral,ally,neutral,ally,neutral,neutral,neutral,neutral,self,,,,
Selva,neutral,neutral,ally,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,self,,,
Tartuca,neutral,neutral,rival,neutral,neutral,neutral,neutral,ally,neutral,ally,neutral,ally,neutral,ally,self,,
Torre,neutral,ally,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,rival,mixed,neutral,neutral,neutral,self,
Valdimontone,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,rival,neutral,ally,neutral,neutral,neutral,neutral,self
