consent,age,gender,contrada,role
yes,33,male,civetta,tamburino
yes,29,male,civetta,alfiere
yes,37,male,civetta,alfiere
yes,23,male,civetta,alfiere
yes,21,male,civetta,tamburino
yes,29,male,civetta,tamburino
yes,28,male,civetta,tamburino
yes,22,male,civetta,tamburino
yes,25,male,civetta,alfiere
yes,28,male,civetta,alfiere
yes,35,male,civetta,tamburino
yes,46,male,civetta,alfiere
yes,27,male,leocorno,alfiere
yes,40,male,leocorno,alfiere
yes,44,male,leocorno,alfiere
yes,26,male,leocorno,tamburino
yes,35,male,leocorno,other
yes,30,male,leocorno,tamburino
yes,32,male,leocorno,alfiere
